,GPU Util,Power Draw,GPU Clock,Mem Used,Response Time
105,3.44056135391424e-19,1.147744105339312e-16,6.315240906197846e-10,3.083150915034427e-09,553544872
106,3.4631966309441897e-19,1.130880829271913e-16,6.315240915251171e-10,3.0831509194543317e-09,6296272125
107,3.4858319129644828e-19,1.1140175547302595e-16,6.315240933227861e-10,3.0831509282306953e-09,5618446724
108,3.485831918559406e-19,1.11401755651831e-16,6.315240943364119e-10,3.0831509331792967e-09,461937118
109,3.4858319219409533e-19,1.1140175575989995e-16,6.315240949490426e-10,3.083150936170209e-09,3577422123
110,3.440561381431149e-19,1.0921066153374344e-16,6.337876228952114e-10,3.0831509396928402e-09,1094131703
111,3.3500202975013595e-19,1.0482847298505604e-16,6.383146783076915e-10,3.08315094434537e-09,4261335382
112,3.350020305497833e-19,1.048284732352808e-16,6.383146798313437e-10,3.0831509517048283e-09,5492271684
113,3.3556791313324804e-19,1.0493033220315671e-16,6.366170358767353e-10,3.083150958826372e-09,3983306043
114,3.3952908620440558e-19,1.0564334340888007e-16,6.247335186161061e-10,3.08315096249024e-09,474159790
115,3.3952908640934783e-19,1.0564334347264721e-16,6.247335189931997e-10,3.083150964351253e-09,1250077203
116,3.3952908658867217e-19,1.0564334352844339e-16,6.247335193231567e-10,3.083150965979638e-09,505494492
117,3.395290871266455e-19,1.0564334369583202e-16,6.247335203130276e-10,3.083150970864796e-09,4828750131
118,3.3952908789517885e-19,1.056433439349586e-16,6.247335217271291e-10,3.083150977843592e-09,4015747804
119,3.3600804617824817e-19,1.0995310004520299e-16,6.247335229841081e-10,3.083150984046966e-09,4661216756
120,3.3500203467899647e-19,1.1118445907724531e-16,6.247335241311013e-10,3.083150989707546e-09,2906328455
121,3.350020354372827e-19,1.1118445932891435e-16,6.247335255452028e-10,3.083150996686342e-09,5815648552
122,3.3500203637755762e-19,1.1039131968458735e-16,6.301659927534596e-10,3.0831510053400493e-09,5598028392
123,3.3500203716449024e-19,1.1019303495433588e-16,6.315241106006267e-10,3.083151012582489e-09,4726510630
124,3.366482396833929e-19,1.1023377872762443e-16,6.315241122178073e-10,3.083151020477694e-09,5695259123
125,3.5311025729655423e-19,1.1064121395292032e-16,6.31524114011145e-10,3.083151029232911e-09,6045302212
126,3.5311025820482087e-19,1.1064121423751053e-16,6.31524115635545e-10,3.0831510371633604e-09,5297788399
